offset	insertions
-2000	8169
-1999	8719
-1998	8367
-1997	8188
-1996	8004
-1995	8342
-1994	8633
-1993	7992
-1992	7592
-1991	7953
-1990	7801
-1989	7926
-1988	8140
-1987	7665
-1986	7708
-1985	8188
-1984	8133
-1983	8107
-1982	7910
-1981	7515
-1980	7742
-1979	8121
-1978	8131
-1977	8075
-1976	7943
-1975	7799
-1974	8435
-1973	8188
-1972	8171
-1971	7964
-1970	7611
-1969	8014
-1968	8789
-1967	8429
-1966	7960
-1965	8547
-1964	8780
-1963	7685
-1962	7788
-1961	8276
-1960	7806
-1959	8043
-1958	8029
-1957	8317
-1956	8357
-1955	7808
-1954	8088
-1953	7978
-1952	8094
-1951	8449
-1950	8045
-1949	8568
-1948	8370
-1947	8859
-1946	8945
-1945	8425
-1944	8066
-1943	8577
-1942	8788
-1941	8667
-1940	8595
-1939	7884
-1938	7784
-1937	8007
-1936	8441
-1935	8778
-1934	8445
-1933	8280
-1932	8723
-1931	8308
-1930	8794
-1929	8163
-1928	8187
-1927	8276
-1926	8422
-1925	8166
-1924	8174
-1923	8643
-1922	8645
-1921	8455
-1920	8445
-1919	8202
-1918	8107
-1917	8333
-1916	8648
-1915	9005
-1914	8688
-1913	8183
-1912	7914
-1911	8064
-1910	8005
-1909	8452
-1908	8376
-1907	8576
-1906	8407
-1905	8274
-1904	8407
-1903	8650
-1902	8825
-1901	8699
-1900	7990
-1899	8197
-1898	8434
-1897	8749
-1896	8374
-1895	8381
-1894	7888
-1893	8182
-1892	8515
-1891	8443
-1890	8457
-1889	8857
-1888	8631
-1887	9106
-1886	8465
-1885	8236
-1884	8337
-1883	8277
-1882	8549
-1881	8762
-1880	8773
-1879	8818
-1878	8855
-1877	8698
-1876	8729
-1875	8488
-1874	8582
-1873	8819
-1872	8509
-1871	8635
-1870	8349
-1869	8421
-1868	8070
-1867	8362
-1866	8917
-1865	8749
-1864	9119
-1863	8665
-1862	8330
-1861	8424
-1860	8615
-1859	8755
-1858	9252
-1857	9197
-1856	8840
-1855	8283
-1854	8465
-1853	8641
-1852	8487
-1851	8482
-1850	8392
-1849	8493
-1848	9097
-1847	8588
-1846	8641
-1845	9220
-1844	8598
-1843	9198
-1842	9050
-1841	8263
-1840	8369
-1839	8671
-1838	8860
-1837	8710
-1836	8678
-1835	8953
-1834	8794
-1833	8769
-1832	8553
-1831	8432
-1830	8282
-1829	8801
-1828	9022
-1827	8764
-1826	8141
-1825	8468
-1824	8629
-1823	9351
-1822	8838
-1821	8147
-1820	8756
-1819	8743
-1818	8780
-1817	8742
-1816	8469
-1815	8709
-1814	8855
-1813	8627
-1812	8448
-1811	8507
-1810	8688
-1809	9213
-1808	8655
-1807	8929
-1806	8973
-1805	8869
-1804	8648
-1803	8379
-1802	8377
-1801	8345
-1800	8628
-1799	9086
-1798	8505
-1797	8430
-1796	8600
-1795	8238
-1794	8600
-1793	9119
-1792	8722
-1791	8826
-1790	8847
-1789	8925
-1788	8563
-1787	8761
-1786	9015
-1785	9070
-1784	8548
-1783	8525
-1782	8900
-1781	9136
-1780	9406
-1779	9188
-1778	8873
-1777	9186
-1776	8730
-1775	8594
-1774	8656
-1773	8648
-1772	8861
-1771	8795
-1770	8610
-1769	8939
-1768	8718
-1767	8548
-1766	8776
-1765	8773
-1764	8912
-1763	8976
-1762	9147
-1761	9022
-1760	8966
-1759	9148
-1758	8862
-1757	8993
-1756	9082
-1755	9102
-1754	8561
-1753	8203
-1752	8124
-1751	8982
-1750	9556
-1749	9312
-1748	8646
-1747	8485
-1746	8717
-1745	8999
-1744	8953
-1743	8614
-1742	8997
-1741	8899
-1740	8728
-1739	9013
-1738	8818
-1737	8768
-1736	8718
-1735	8737
-1734	9001
-1733	9172
-1732	9014
-1731	8532
-1730	8883
-1729	9170
-1728	8660
-1727	8715
-1726	9136
-1725	9012
-1724	9064
-1723	8588
-1722	9075
-1721	9435
-1720	9429
-1719	8822
-1718	8271
-1717	8371
-1716	8981
-1715	9277
-1714	9050
-1713	8162
-1712	8659
-1711	9208
-1710	9114
-1709	8660
-1708	8522
-1707	9293
-1706	9264
-1705	9043
-1704	9010
-1703	8667
-1702	9134
-1701	9441
-1700	8961
-1699	8675
-1698	8852
-1697	8901
-1696	8994
-1695	8597
-1694	8919
-1693	9158
-1692	9014
-1691	8809
-1690	9190
-1689	9182
-1688	8752
-1687	8930
-1686	8765
-1685	8752
-1684	8683
-1683	9113
-1682	9055
-1681	9050
-1680	8886
-1679	8950
-1678	9484
-1677	9150
-1676	8947
-1675	8705
-1674	8986
-1673	8970
-1672	8929
-1671	9720
-1670	9102
-1669	8230
-1668	8876
-1667	9092
-1666	9271
-1665	9021
-1664	8680
-1663	9248
-1662	8860
-1661	8811
-1660	8834
-1659	8868
-1658	9068
-1657	8857
-1656	9147
-1655	9096
-1654	8735
-1653	8909
-1652	8840
-1651	8660
-1650	8970
-1649	9077
-1648	8999
-1647	8796
-1646	9069
-1645	9530
-1644	8959
-1643	9300
-1642	8943
-1641	9172
-1640	9629
-1639	9228
-1638	9414
-1637	9351
-1636	9021
-1635	9544
-1634	9242
-1633	8995
-1632	9655
-1631	9854
-1630	9718
-1629	9586
-1628	9042
-1627	9677
-1626	9182
-1625	9693
-1624	9492
-1623	9144
-1622	9004
-1621	9460
-1620	9638
-1619	9156
-1618	8929
-1617	8819
-1616	9233
-1615	9578
-1614	9531
-1613	8868
-1612	8676
-1611	8609
-1610	9381
-1609	9603
-1608	9464
-1607	9273
-1606	9285
-1605	10098
-1604	9905
-1603	8920
-1602	9335
-1601	8978
-1600	9510
-1599	9618
-1598	8990
-1597	9034
-1596	9142
-1595	9743
-1594	9700
-1593	9051
-1592	9071
-1591	9306
-1590	9455
-1589	9428
-1588	8618
-1587	8859
-1586	9960
-1585	9602
-1584	9163
-1583	9242
-1582	9257
-1581	10020
-1580	10463
-1579	9974
-1578	9510
-1577	9070
-1576	9185
-1575	9628
-1574	9346
-1573	9761
-1572	9572
-1571	10040
-1570	10025
-1569	9453
-1568	9298
-1567	9462
-1566	9766
-1565	9432
-1564	8580
-1563	9167
-1562	9248
-1561	9718
-1560	9732
-1559	9320
-1558	9744
-1557	10395
-1556	10134
-1555	10090
-1554	9310
-1553	9968
-1552	9966
-1551	9932
-1550	10038
-1549	9397
-1548	9860
-1547	9344
-1546	9964
-1545	10058
-1544	9556
-1543	9309
-1542	8959
-1541	9754
-1540	10113
-1539	9951
-1538	9784
-1537	9692
-1536	10101
-1535	10261
-1534	9947
-1533	9499
-1532	9403
-1531	10020
-1530	9972
-1529	9592
-1528	9297
-1527	9800
-1526	9964
-1525	10001
-1524	9811
-1523	9518
-1522	9852
-1521	9488
-1520	10048
-1519	10318
-1518	10301
-1517	9888
-1516	9921
-1515	10159
-1514	10047
-1513	10745
-1512	10492
-1511	10137
-1510	10574
-1509	10495
-1508	9836
-1507	9590
-1506	10077
-1505	10419
-1504	10091
-1503	10264
-1502	9971
-1501	10098
-1500	10557
-1499	10182
-1498	10153
-1497	10216
-1496	10224
-1495	10526
-1494	10177
-1493	10080
-1492	10444
-1491	10373
-1490	10694
-1489	10154
-1488	10291
-1487	11056
-1486	10728
-1485	10394
-1484	10510
-1483	11077
-1482	11043
-1481	10491
-1480	10665
-1479	10919
-1478	10653
-1477	10834
-1476	10570
-1475	10714
-1474	11473
-1473	10705
-1472	10511
-1471	10702
-1470	10511
-1469	10467
-1468	10597
-1467	10337
-1466	10554
-1465	10796
-1464	11319
-1463	10959
-1462	10621
-1461	10443
-1460	11010
-1459	11379
-1458	10454
-1457	10573
-1456	10260
-1455	10481
-1454	11313
-1453	11359
-1452	10569
-1451	10292
-1450	10174
-1449	11197
-1448	11343
-1447	10890
-1446	10375
-1445	10372
-1444	11042
-1443	11323
-1442	11689
-1441	11176
-1440	10780
-1439	10733
-1438	11037
-1437	11064
-1436	10908
-1435	10954
-1434	10691
-1433	10669
-1432	10850
-1431	10621
-1430	11012
-1429	10974
-1428	10528
-1427	11198
-1426	10713
-1425	10190
-1424	10250
-1423	11470
-1422	11569
-1421	11678
-1420	11381
-1419	10883
-1418	10539
-1417	10809
-1416	12131
-1415	12624
