fragment_lengths	records
1	34
2	178
3	52
4	46
5	78
6	56
7	104
8	55
9	35
10	263
11	258
12	293
13	358
14	412
15	506
16	1221
17	29542
18	51282
19	53539
20	44555
21	31261
22	35878
23	65907
24	109226
25	182274
26	314992
27	386324
28	360763
29	367464
30	442881
31	527886
32	611346
33	730984
34	841829
35	873550
36	811021
37	671546
38	542480
39	489296
40	516868
41	586030
42	655845
43	712754
44	752690
45	742413
46	688452
47	608883
48	528955
49	482423
50	484660
51	523809
52	576492
53	630659
54	660003
55	657097
56	614961
57	561562
58	509047
59	471459
60	461766
61	475732
62	510131
63	544161
64	563138
65	561346
66	532018
67	493086
68	452654
69	416366
70	396638
71	397771
72	416426
73	437866
74	453017
75	455737
76	436659
77	406565
78	372866
79	341266
80	322574
81	317616
82	325311
83	337724
84	352008
85	356375
86	349840
87	328121
88	300951
89	276256
90	259826
91	253364
92	256414
93	264318
94	275505
95	280184
96	278477
97	264568
98	248131
99	228094
100	211965
101	205303
102	204322
103	209083
104	215668
105	221678
106	222199
107	213914
108	202409
109	189202
110	175735
111	168681
112	164646
113	166640
114	175710
115	186078
116	189023
117	180952
118	177755
119	168233
120	153028
121	143817
122	139912
123	137734
124	140394
125	144068
126	152716
127	179823
128	247080
129	281529
130	220797
131	167716
132	153073
133	137603
134	124386
135	123646
136	127542
137	143860
138	183095
139	229216
140	250505
141	274631
142	286789
143	235090
144	172853
145	150375
146	153176
147	168242
148	205104
149	250979
150	268255
151	251359
152	223668
153	205490
154	206554
155	238167
156	321804
157	460081
158	575586
159	559143
160	436881
161	320806
162	261165
163	240632
164	248506
165	293995
166	381211
167	476251
168	523263
169	483328
170	393916
171	308161
172	257583
173	237530
174	240186
175	261429
176	298678
177	339710
178	367461
179	363456
180	330276
181	288053
182	256584
183	242005
184	242266
185	253615
186	270351
187	287132
188	296300
189	293674
190	280487
191	264837
192	254168
193	252041
194	255515
195	261120
196	265889
197	267906
198	265996
199	261344
200	252669
201	250919
202	252880
203	254382
204	255611
205	253600
206	251005
207	247037
208	240436
209	234515
210	228019
211	222925
212	222088
213	222143
214	221021
215	217331
216	212903
217	207829
218	203560
219	198873
220	194473
221	191246
222	188612
223	187274
224	185958
225	183449
226	179551
227	173535
228	168452
229	164121
230	159885
231	156209
232	152895
233	150387
234	148199
235	146314
236	144239
237	140719
238	137201
239	133270
240	130513
241	127107
242	124506
243	122279
244	120987
245	118706
246	117444
247	115887
248	114231
249	112220
250	109066
251	105992
252	102904
253	101180
254	99937
255	99185
256	97560
257	97047
258	96781
259	96090
260	94702
261	92539
262	90240
263	87615
264	85714
265	85185
266	84868
267	84883
268	86487
269	87073
270	87337
271	86256
272	84588
273	83097
274	80083
275	79375
276	79339
277	80322
278	82148
279	85216
280	86604
281	86938
282	86497
283	84283
284	80922
285	78948
286	78875
287	80825
288	85626
289	92078
290	96956
291	101246
292	100077
293	95116
294	89917
295	85705
296	83557
297	85095
298	87553
299	93079
300	99121
301	104762
302	107170
303	105889
304	101642
305	96699
306	93653
307	92409
308	93112
309	96839
310	102998
311	108567
312	112993
313	114593
314	113624
315	108758
316	104059
317	100988
318	100550
319	102535
320	105578
321	109278
322	114606
323	117162
324	118921
325	119202
326	116613
327	113805
328	110979
329	110683
330	111197
331	113358
332	116055
333	118842
334	121508
335	123048
336	123679
337	122108
338	120075
339	118033
340	116297
341	115549
342	116406
343	117564
344	119606
345	120971
346	124028
347	125900
348	126874
349	125579
350	123457
351	119033
352	116116
353	114514
354	115145
355	115198
356	115637
357	117528
358	118913
359	120071
360	119292
361	116121
362	113694
363	110159
364	107992
365	107007
366	106979
367	106611
368	106801
369	107611
370	107469
371	106441
372	105759
373	103960
374	101953
375	99198
376	97615
377	96483
378	95265
379	94824
380	94333
381	94981
382	94279
383	93566
384	92176
385	91388
386	88764
387	86733
388	84377
389	82743
390	81994
391	81065
392	81308
393	80766
394	79742
395	79238
396	77159
397	75243
398	73699
399	71257
400	70196
401	68869
402	69036
403	67753
404	67225
405	66821
406	65700
407	64215
408	62061
409	61349
410	59607
411	58277
412	57647
413	57073
414	55776
415	54993
416	54442
417	53451
418	52549
419	51409
420	50393
421	49607
422	48785
423	48217
424	46637
425	46324
426	45284
427	44806
428	44253
429	43532
430	42729
431	42268
432	41524
433	41034
434	40440
435	39364
436	38941
437	38233
438	38163
439	37657
440	37444
441	36530
442	36280
443	35569
444	35617
445	35304
446	34788
447	34079
448	33772
449	33590
450	33131
451	32860
452	32737
453	32746
454	32282
455	32202
456	31907
457	31788
458	31425
459	31085
460	30878
461	30589
462	30543
463	30100
464	30512
465	30489
466	30405
467	30346
468	30248
469	29654
470	29296
471	29199
472	28822
473	28884
474	28740
475	29039
476	28872
477	29513
478	29120
479	29013
480	29186
481	28724
482	28180
