donor_a	donor_b	pearson_log1p_CPM_50kb	spearman_50kb
LGS1	LGS1	0.9999999999999998	1.0
LGS1	LGS2	0.9819213564866062	0.9760509530653082
LGS1	LGS3	0.9663111469791246	0.9598257089616283
LGS1	LVG1	0.9590097463309561	0.9501742123061224
LGS2	LGS1	0.9819213564866062	0.9760509530653082
LGS2	LGS2	1.0	0.9999999999999999
LGS2	LGS3	0.9670611046507105	0.9597935386334364
LGS2	LVG1	0.9557078949545192	0.9489933868527494
LGS3	LGS1	0.9663111469791246	0.9598257089616283
LGS3	LGS2	0.9670611046507105	0.9597935386334365
LGS3	LGS3	1.0	0.9999999999999999
LGS3	LVG1	0.9403073449679646	0.9333406786247719
LVG1	LGS1	0.9590097463309561	0.9501742123061224
LVG1	LGS2	0.9557078949545192	0.9489933868527494
LVG1	LGS3	0.9403073449679646	0.9333406786247719
LVG1	LVG1	1.0	1.0
